fitness_level,fitness_goals,name,target_muscle,difficulty,equipment,gif,time,reps,circuits,circuits_rest,exercises_rest,weight
advanced,weightloss,Поднятие гантелей на бицепс стоя,Бицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/KB2R7fAERVGRjjKI-3-1-4.gif,,20,3,60,,10
advanced,weightloss,Приседания с выпрыгиваниями,Квадрицепсы,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmobez.ru%2Ffoto%2Fprisedaniya-s-viypriygivaniem.html&psig=AOvVaw1Mm-9FwnSP3R3q5mE8OPZx&ust=1740145593986000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCOik9tix0osDFQAAAAAdAAAAABAJ,,20,3,60,,
advanced,weightloss,Экстензия на квадрицепсы,Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/ilTG6pXrcdT6yerW-11-1-5.gif,,20,3,60,,
advanced,weightloss,Тяга верхнего блока на трицепс вниз,Трицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/Bu4UxH9bwkXjSVbD-1-4-2.gif,,15,3,60,,
advanced,weightloss,Экстензия на задние сидя / лежа,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/4vM8OQhuGdBLU9b9-13-2-2sidia.gif,,20,3,60,,
advanced,weightloss,Подъемы корпуса на полу (с блином),Пресс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/WLvmn2M38GCN3lYJ-7-1-3.gif,,20,3,60,,
advanced,weightloss,Русские скручивания с утяжелителем (мяч / гантель),Пресс,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Fgoodlooker.ru%2Fuprazheniya-na-press.html&psig=AOvVaw2B0LHpeZs6JEDpeU_Yby1e&ust=1740146591571000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCOC9lK610osDFQAAAAAdAAAAABAE,,20,3,60,,
advanced,weightloss,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,1500,,,,,
beginner,musclegain,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,300,,,,,
beginner,musclegain,Жим штанги лежа,Грудь,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Finstructorpro.ru%2Fgilotinnyj-zhim%2F&psig=AOvVaw1OCHU1dFzEwLa_mDKJ-v3_&ust=1740146668806000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCMi40NO10osDFQAAAAAdAAAAABAE,,10,3,60,,20-40
beginner,musclegain,Кроссовер,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/izlSfQfjv0zCsszJ-4-3-1.gif,,10,2,60,,10
beginner,musclegain,Подтягивания (с утяжелением),Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/1ILYXtNz80a6Pj6k-16-1-3.gif,,5,3,60,,0
beginner,musclegain,Тяга среднего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/GWtvzgiwJBuDQmS0-16-1-1.gif,,10,3,60,,10-20
beginner,musclegain,Армейский жим (жим штанги стоя),Плечи,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/CgOIEIvAjTsTLI8H-6-1-1.gif,,6,3,60,,10-20
beginner,musclegain,"Жим ногами (вес указан только дополнительный, без учета платформы)",Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/0KKmnZ4xK2v57e54-11-1-3.gif,,8,3,60,,50
beginner,musclegain,Экстензия на квадрицепсы,Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/ilTG6pXrcdT6yerW-11-1-5.gif,,8,2,60,,30
beginner,musclegain,Румынская тяга,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/PhUNSY2IfUTO7i4L-13-1-1.gif,,8,3,60,,20-40
beginner,musclegain,Экстензия на задние сидя / лежа,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/4vM8OQhuGdBLU9b9-13-2-2sidia.gif,,8,2,60,,30
